EQUIPE Ronflex
INSTANCE 15
0 0
0 4
0 8
0 12
0 18
0 20
0 27
0 35
0 37
0 42
0 48
1 0
1 1
1 16
1 32
1 44
1 46
2 4
2 24
2 26
2 31
2 36
3 7
3 17
3 29
3 39
3 47
4 0
4 4
4 14
4 22
4 23
4 30
4 45
5 2
5 7
5 9
5 15
5 36
6 11
6 27
7 7
7 24
7 30
7 31
7 44
7 48
7 49
8 5
8 11
8 42
9 6
9 18
9 21
9 38
9 40
9 46
10 14
10 20
10 28
10 29
10 40
10 43
10 48
11 4
11 9
11 14
11 18
11 21
11 32
11 34
11 49
12 0
12 8
12 20
12 34
12 46
13 12
13 22
13 25
13 28
13 41
13 44
14 13
14 17
14 24
14 35
14 39
15 3
15 19
15 32
15 33
15 41
16 9
16 18
16 20
16 26
16 40
16 48
17 7
17 27
17 29
17 31
17 36
17 45
18 4
18 30
18 43
19 11
19 14
19 23
19 45
19 49
20 3
20 12
20 17
20 19
20 21
20 27
20 42
21 12
21 21
21 23
21 31
21 39
21 40
22 1
22 9
22 33
22 48
23 2
23 8
23 16
23 18
23 22
23 29
23 32
23 38
23 45
24 24
24 34
24 36
24 39
